Booking_ID,Hotel_Type,Season,Rooms_Available,Base_Price,Demand_Level,Booking_Probability,Dynamic_Price,Revenue
417,City Hotel,Peak,117,192,Low,0.85,285.85,242.97
418,Resort Hotel,Peak,198,259,High,0.77,351.6,270.73
419,Resort Hotel,Peak,157,209,Medium,0.97,277.91,269.57
420,Resort Hotel,Holiday,123,297,Medium,0.86,379.09,326.02
421,Resort Hotel,Holiday,87,252,High,0.92,230.9,212.43
422,Resort Hotel,Peak,139,197,Low,0.95,165.75,157.46
423,Resort Hotel,Off-Peak,46,265,High,0.84,340.13,285.71
424,City Hotel,Off-Peak,29,192,High,0.74,251.55,186.15
425,Resort Hotel,Off-Peak,35,225,Medium,0.2,187.4,37.48
426,City Hotel,Off-Peak,38,248,High,0.57,359.51,204.92
427,City Hotel,Peak,10,198,High,0.66,171.03,112.88
428,Resort Hotel,Holiday,128,219,Medium,0.44,219.03,96.37
429,City Hotel,Off-Peak,44,203,Medium,0.45,257.95,116.08
430,Resort Hotel,Peak,68,285,Medium,0.97,261.89,254.03
431,City Hotel,Off-Peak,78,169,Medium,0.91,141.76,129.0
432,Resort Hotel,Off-Peak,170,177,High,0.88,182.63,160.71
433,City Hotel,Peak,188,191,High,0.52,255.21,132.71
434,Resort Hotel,Holiday,21,106,Low,0.21,115.49,24.25
435,Resort Hotel,Holiday,29,214,Low,0.26,269.02,69.95
436,Resort Hotel,Peak,190,107,High,0.45,129.01,58.05
437,Resort Hotel,Holiday,52,70,Low,0.21,57.09,11.99
438,Resort Hotel,Peak,135,131,High,0.21,195.45,41.04
439,City Hotel,Peak,59,118,Low,0.93,97.82,90.97
440,City Hotel,Peak,38,180,Medium,0.76,265.94,202.11
441,City Hotel,Holiday,194,136,Low,0.45,161.15,72.52
442,Resort Hotel,Peak,48,267,Medium,0.31,393.61,122.02
443,City Hotel,Off-Peak,193,214,Medium,0.61,188.39,114.92
444,Resort Hotel,Holiday,180,265,Medium,0.2,302.97,60.59
445,Resort Hotel,Holiday,187,98,Medium,0.95,90.03,85.53
446,City Hotel,Holiday,160,196,Low,0.53,163.79,86.81
447,City Hotel,Holiday,181,164,High,0.52,202.09,105.09
448,Resort Hotel,Off-Peak,47,138,Medium,0.51,130.47,66.54
449,City Hotel,Holiday,93,134,Low,0.26,162.33,42.21
450,Resort Hotel,Holiday,160,177,Medium,0.71,155.52,110.42
451,Resort Hotel,Peak,137,189,Low,0.79,195.12,154.14
452,Resort Hotel,Holiday,135,298,Low,0.74,401.45,297.07
453,Resort Hotel,Off-Peak,54,238,Low,0.31,263.21,81.6
454,Resort Hotel,Off-Peak,61,218,High,0.66,270.19,178.33
455,City Hotel,Off-Peak,89,210,Low,0.66,263.18,173.7
456,City Hotel,Off-Peak,187,227,Low,0.89,315.67,280.95
457,Resort Hotel,Holiday,133,166,High,0.5,170.56,85.28
458,Resort Hotel,Holiday,128,245,High,0.5,313.87,156.94
459,City Hotel,Off-Peak,17,176,Low,0.69,259.27,178.9
460,City Hotel,Off-Peak,94,283,High,0.71,371.06,263.45
461,Resort Hotel,Holiday,138,298,Medium,0.58,340.59,197.54
462,City Hotel,Off-Peak,17,120,Medium,0.55,148.98,81.94
463,Resort Hotel,Peak,166,135,High,0.6,177.9,106.74
464,City Hotel,Off-Peak,105,296,High,0.89,363.66,323.66
465,Resort Hotel,Off-Peak,111,82,Low,0.57,66.56,37.94
466,City Hotel,Peak,14,130,High,0.95,121.72,115.63
467,Resort Hotel,Peak,95,201,Low,0.6,274.83,164.9
468,City Hotel,Holiday,184,110,Medium,0.96,108.99,104.63
469,City Hotel,Holiday,43,110,High,0.87,144.33,125.57
470,Resort Hotel,Peak,64,147,Low,0.49,155.89,76.39
471,City Hotel,Peak,128,77,Low,0.89,89.73,79.86
472,Resort Hotel,Holiday,180,235,Medium,0.29,199.18,57.76
473,City Hotel,Off-Peak,167,92,High,0.94,85.27,80.15
474,Resort Hotel,Peak,123,218,Medium,0.71,320.47,227.53
475,City Hotel,Holiday,154,216,Low,0.24,307.39,73.77
476,Resort Hotel,Off-Peak,35,135,Low,0.72,169.64,122.14
477,City Hotel,Peak,145,226,High,0.98,253.52,248.45
478,Resort Hotel,Off-Peak,56,66,Low,0.26,84.02,21.85
479,City Hotel,Holiday,122,147,High,0.64,181.25,116.0
480,Resort Hotel,Peak,85,247,Medium,0.8,295.9,236.72
481,Resort Hotel,Off-Peak,81,287,High,0.85,241.49,205.27
482,Resort Hotel,Peak,98,247,High,0.53,307.01,162.72
483,City Hotel,Off-Peak,55,147,Low,0.36,196.72,70.82
484,Resort Hotel,Holiday,42,114,Low,0.23,170.53,39.22
485,City Hotel,Holiday,10,123,High,0.66,99.35,65.57
486,Resort Hotel,Peak,156,134,Low,0.56,175.69,98.39
487,City Hotel,Off-Peak,40,54,Low,0.96,64.81,62.22
488,Resort Hotel,Peak,151,51,Low,0.25,56.3,14.08
489,City Hotel,Peak,62,71,High,0.75,63.14,47.36
490,City Hotel,Off-Peak,57,161,Low,0.22,174.9,38.48
491,Resort Hotel,Off-Peak,78,106,High,0.34,111.09,37.77
492,City Hotel,Off-Peak,114,115,Low,0.56,116.38,65.17
493,City Hotel,Holiday,99,123,Medium,0.56,161.33,90.34
494,Resort Hotel,Peak,199,147,Low,0.75,189.7,142.27
495,City Hotel,Peak,72,193,Low,0.93,233.98,217.6
496,City Hotel,Holiday,82,161,High,0.71,234.59,166.56
497,City Hotel,Off-Peak,170,228,High,0.96,238.24,228.71
498,Resort Hotel,Holiday,178,174,Low,0.91,168.9,153.7
499,City Hotel,Holiday,98,216,Medium,0.67,271.97,182.22
500,Resort Hotel,Holiday,185,135,Low,0.87,126.79,110.31
501,City Hotel,Peak,22,125,Low,0.71,127.56,90.57
502,City Hotel,Holiday,82,137,Medium,0.26,131.14,34.1
503,City Hotel,Peak,86,288,High,0.79,244.34,193.03
504,Resort Hotel,Peak,168,217,Low,0.28,299.3,83.8
505,City Hotel,Peak,77,87,High,0.68,85.1,57.87
506,City Hotel,Off-Peak,107,237,High,0.76,268.08,203.74
507,Resort Hotel,Peak,134,108,Medium,0.25,89.67,22.42
508,City Hotel,Peak,111,187,Medium,0.38,241.14,91.63
509,Resort Hotel,Off-Peak,141,148,High,0.93,152.65,141.96
510,Resort Hotel,Peak,111,241,Low,0.69,318.44,219.72
511,City Hotel,Holiday,28,292,High,0.4,317.9,127.16
512,Resort Hotel,Holiday,91,112,Low,0.75,104.95,78.71
513,City Hotel,Peak,150,98,Low,0.68,113.6,77.25
514,Resort Hotel,Off-Peak,32,241,Medium,0.6,214.82,128.89
515,Resort Hotel,Holiday,92,81,Low,0.98,89.78,87.98
516,City Hotel,Off-Peak,118,184,Low,0.75,188.07,141.05
517,Resort Hotel,Off-Peak,84,70,High,0.5,100.69,50.34
518,Resort Hotel,Holiday,138,69,Medium,0.84,58.14,48.84
519,Resort Hotel,Off-Peak,97,203,Low,0.91,261.02,237.53
520,Resort Hotel,Holiday,63,176,Low,0.3,163.31,48.99
521,Resort Hotel,Off-Peak,98,117,Medium,0.36,119.73,43.1
522,City Hotel,Holiday,152,159,High,0.37,173.45,64.18
523,Resort Hotel,Peak,74,165,Medium,0.75,236.88,177.66
524,City Hotel,Holiday,85,263,Medium,0.68,255.06,173.44
525,Resort Hotel,Holiday,152,192,Low,0.7,165.87,116.11
526,City Hotel,Holiday,158,169,Low,0.95,172.9,164.26
527,City Hotel,Holiday,156,281,High,0.82,245.39,201.22
528,Resort Hotel,Off-Peak,69,262,Low,0.3,233.18,69.95
529,Resort Hotel,Peak,102,128,Low,0.48,153.82,73.83
530,Resort Hotel,Holiday,170,263,Medium,0.55,221.61,121.89
531,City Hotel,Off-Peak,58,165,Low,0.52,135.57,70.5
532,Resort Hotel,Peak,44,141,High,0.74,183.31,135.65
533,City Hotel,Peak,181,63,Medium,0.91,66.35,60.38
534,City Hotel,Peak,111,204,High,0.44,181.1,79.68
535,City Hotel,Peak,20,174,Medium,0.64,170.09,108.86
536,Resort Hotel,Holiday,108,282,Low,0.83,352.35,292.45
537,Resort Hotel,Holiday,119,217,Medium,0.53,215.45,114.19
538,City Hotel,Off-Peak,83,107,Medium,0.33,122.64,40.47
539,City Hotel,Off-Peak,183,77,Low,0.58,68.16,39.53
540,Resort Hotel,Off-Peak,18,75,Low,0.24,90.87,21.81
541,City Hotel,Peak,12,162,High,0.95,165.44,157.17
542,Resort Hotel,Peak,94,240,High,0.26,297.33,77.31
543,City Hotel,Holiday,35,115,Low,0.55,157.08,86.39
544,Resort Hotel,Peak,81,202,Low,0.62,248.09,153.82
545,City Hotel,Peak,57,297,Low,0.99,299.09,296.1
546,Resort Hotel,Peak,165,180,Medium,0.33,176.22,58.15
547,City Hotel,Off-Peak,126,249,Medium,0.29,256.27,74.32
548,Resort Hotel,Off-Peak,163,93,Medium,0.21,85.12,17.88
549,Resort Hotel,Holiday,162,146,Low,0.32,135.32,43.3
550,City Hotel,Peak,21,91,High,0.37,123.17,45.57
551,City Hotel,Peak,142,293,Low,0.7,313.31,219.32
552,Resort Hotel,Holiday,57,276,Medium,0.38,305.03,115.91
553,City Hotel,Peak,46,55,Medium,0.22,66.87,14.71
554,Resort Hotel,Peak,53,216,Low,0.86,261.96,225.29
555,City Hotel,Off-Peak,24,229,Low,0.49,194.0,95.06
556,Resort Hotel,Holiday,52,72,Medium,0.48,99.51,47.76
557,Resort Hotel,Holiday,185,138,Medium,0.44,127.53,56.11
558,Resort Hotel,Holiday,96,172,Medium,0.98,224.66,220.17
559,Resort Hotel,Holiday,79,227,Low,0.34,304.38,103.49
560,Resort Hotel,Off-Peak,55,220,Medium,0.92,286.09,263.2
561,Resort Hotel,Off-Peak,117,196,Medium,0.82,236.24,193.72
562,City Hotel,Peak,132,246,High,0.26,199.32,51.82
563,City Hotel,Peak,180,100,Low,0.99,105.23,104.18
564,City Hotel,Peak,30,60,High,0.42,73.4,30.83
565,Resort Hotel,Peak,160,297,High,0.28,318.15,89.08
566,Resort Hotel,Off-Peak,116,61,Medium,0.86,85.67,73.68
567,Resort Hotel,Holiday,89,123,Low,0.77,124.99,96.24
568,Resort Hotel,Off-Peak,56,57,Medium,0.69,57.31,39.54
569,City Hotel,Peak,126,201,Low,0.32,198.23,63.43
570,City Hotel,Off-Peak,133,269,High,0.58,277.86,161.16
571,Resort Hotel,Holiday,152,90,Low,0.82,107.12,87.84
572,City Hotel,Holiday,34,213,Medium,0.44,275.82,121.36
573,City Hotel,Off-Peak,45,278,Medium,0.45,351.34,158.1
574,Resort Hotel,Off-Peak,60,134,Medium,0.2,182.96,36.59
575,City Hotel,Off-Peak,24,121,Low,0.34,171.84,58.43
576,Resort Hotel,Peak,77,104,High,0.9,142.61,128.35
577,City Hotel,Off-Peak,30,186,High,0.55,151.27,83.2
578,Resort Hotel,Off-Peak,150,96,Low,0.99,126.25,124.99
579,Resort Hotel,Off-Peak,28,192,Medium,0.52,181.61,94.44
580,Resort Hotel,Holiday,43,225,High,0.77,200.94,154.72
581,Resort Hotel,Holiday,87,287,Medium,0.43,357.87,153.88
582,City Hotel,Peak,134,153,Low,0.49,156.64,76.75
583,Resort Hotel,Peak,126,259,Medium,0.35,217.56,76.15
584,Resort Hotel,Holiday,61,91,High,0.48,81.57,39.15
585,Resort Hotel,Holiday,36,109,High,0.64,87.27,55.85
586,City Hotel,Holiday,166,261,Medium,0.99,373.82,370.08
587,Resort Hotel,Off-Peak,165,247,Low,0.73,201.86,147.36
588,City Hotel,Off-Peak,44,61,Medium,0.36,57.74,20.79
589,Resort Hotel,Holiday,145,179,Low,0.24,195.36,46.89
590,City Hotel,Off-Peak,153,56,Medium,0.3,58.78,17.63
591,City Hotel,Off-Peak,115,129,High,0.65,185.53,120.59
592,Resort Hotel,Peak,173,180,Low,0.81,149.08,120.75
593,City Hotel,Holiday,167,158,Low,0.95,183.05,173.9
594,Resort Hotel,Holiday,155,52,Low,0.21,66.37,13.94
595,Resort Hotel,Off-Peak,11,76,High,0.62,110.37,68.43
596,Resort Hotel,Holiday,186,163,Medium,0.58,201.18,116.68
597,City Hotel,Peak,86,156,High,0.72,212.57,153.05
598,City Hotel,Peak,141,89,Low,0.65,76.42,49.67
599,Resort Hotel,Peak,99,279,Medium,0.75,298.57,223.93
600,Resort Hotel,Holiday,98,210,High,0.73,222.97,162.77
601,City Hotel,Holiday,103,269,Low,0.29,382.09,110.81
602,Resort Hotel,Holiday,16,178,Low,0.84,161.26,135.46
603,Resort Hotel,Holiday,104,296,High,0.3,268.27,80.48
604,Resort Hotel,Holiday,117,57,High,0.76,58.71,44.62
605,City Hotel,Peak,83,150,High,0.53,125.72,66.63
606,City Hotel,Off-Peak,48,209,Low,0.61,193.89,118.27
607,City Hotel,Peak,150,173,High,0.92,255.29,234.87
608,Resort Hotel,Holiday,168,225,Low,0.91,247.44,225.17
609,Resort Hotel,Peak,80,156,High,0.85,193.82,164.75
610,Resort Hotel,Holiday,65,150,Low,0.61,196.24,119.71
611,City Hotel,Holiday,179,53,Low,0.79,56.01,44.25
612,Resort Hotel,Peak,198,271,Medium,0.61,244.73,149.29
613,Resort Hotel,Holiday,51,247,High,0.9,233.32,209.99
614,Resort Hotel,Off-Peak,193,159,High,0.52,162.07,84.28
615,Resort Hotel,Holiday,45,295,Low,0.98,367.35,360.0
616,City Hotel,Off-Peak,93,68,Low,0.95,73.36,69.69
617,City Hotel,Off-Peak,127,81,Low,0.79,65.19,51.5
618,Resort Hotel,Holiday,16,186,Medium,0.42,216.95,91.12
619,City Hotel,Peak,63,61,Medium,0.31,88.15,27.33
620,City Hotel,Off-Peak,138,188,Low,0.88,257.27,226.4
621,Resort Hotel,Peak,181,95,High,0.33,130.88,43.19
622,Resort Hotel,Off-Peak,129,168,High,0.88,227.9,200.55
623,City Hotel,Holiday,182,65,Medium,0.59,66.73,39.37
624,Resort Hotel,Holiday,115,178,Medium,0.53,237.74,126.0
625,City Hotel,Off-Peak,56,112,Low,0.92,100.82,92.75
626,Resort Hotel,Holiday,132,158,High,0.68,199.14,135.42
627,City Hotel,Off-Peak,150,168,Low,0.66,209.85,138.5
628,Resort Hotel,Holiday,128,294,Medium,0.65,240.46,156.3
629,City Hotel,Peak,159,70,High,0.5,94.61,47.3
630,City Hotel,Holiday,127,207,High,0.83,296.48,246.08
631,City Hotel,Peak,30,62,Medium,0.4,61.21,24.48
632,Resort Hotel,Holiday,146,211,Low,0.95,288.79,274.35
633,City Hotel,Peak,35,53,Low,0.92,45.46,41.82
634,City Hotel,Holiday,18,205,High,0.47,250.1,117.55
635,Resort Hotel,Peak,24,151,Medium,0.78,172.13,134.26
636,Resort Hotel,Off-Peak,19,299,High,0.66,353.46,233.28
637,City Hotel,Off-Peak,131,272,Medium,0.47,393.95,185.16
638,City Hotel,Peak,130,108,Low,0.99,152.27,150.75
639,Resort Hotel,Holiday,134,296,Medium,0.22,399.47,87.88
640,Resort Hotel,Peak,179,177,Low,0.4,175.51,70.2
641,Resort Hotel,Holiday,81,76,Medium,0.62,109.31,67.77
642,Resort Hotel,Off-Peak,161,118,High,0.62,102.45,63.52
643,Resort Hotel,Holiday,58,74,Low,0.67,103.4,69.28
644,City Hotel,Off-Peak,163,180,High,0.8,185.35,148.28
645,Resort Hotel,Holiday,100,146,High,0.7,122.3,85.61
646,City Hotel,Holiday,46,245,Low,0.68,310.79,211.34
647,City Hotel,Holiday,77,74,Low,0.24,71.18,17.08
648,City Hotel,Peak,59,197,High,0.5,191.19,95.6
649,Resort Hotel,Peak,161,211,High,0.39,214.0,83.46
650,City Hotel,Off-Peak,28,203,High,0.41,171.45,70.29
651,City Hotel,Off-Peak,109,175,High,0.64,161.7,103.49
652,Resort Hotel,Peak,69,182,Low,0.36,146.25,52.65
653,City Hotel,Off-Peak,176,276,Low,0.44,306.85,135.01
654,City Hotel,Peak,98,238,High,0.39,204.44,79.73
655,Resort Hotel,Holiday,155,269,Medium,0.96,343.74,329.99
656,City Hotel,Off-Peak,156,270,Medium,0.96,260.53,250.11
657,City Hotel,Off-Peak,173,58,Low,0.69,84.71,58.45
658,City Hotel,Peak,192,165,High,0.94,232.63,218.67
659,Resort Hotel,Off-Peak,78,279,High,0.83,279.73,232.18
660,Resort Hotel,Off-Peak,184,227,Low,0.67,306.05,205.05
661,Resort Hotel,Holiday,58,183,Medium,0.21,249.3,52.35
662,City Hotel,Off-Peak,117,260,Medium,0.82,387.55,317.79
663,City Hotel,Holiday,170,109,Medium,0.76,132.82,100.94
664,Resort Hotel,Peak,128,221,Low,0.69,189.48,130.74
665,City Hotel,Off-Peak,158,170,Medium,0.81,212.97,172.51
666,City Hotel,Holiday,159,188,Low,0.61,232.65,141.92
667,Resort Hotel,Peak,185,243,Low,0.76,302.98,230.26
668,Resort Hotel,Off-Peak,46,224,High,0.95,227.36,215.99
669,City Hotel,Peak,152,157,Medium,0.5,220.08,110.04
670,City Hotel,Off-Peak,172,157,Low,0.77,231.05,177.91
671,City Hotel,Peak,169,250,Medium,0.58,238.1,138.1
672,Resort Hotel,Peak,20,262,Medium,0.74,225.77,167.07
673,Resort Hotel,Holiday,147,265,High,0.81,248.09,200.95
674,Resort Hotel,Peak,87,275,Medium,0.24,377.96,90.71
675,Resort Hotel,Off-Peak,86,263,High,0.72,334.97,241.18
676,City Hotel,Off-Peak,194,180,Low,0.38,224.14,85.17
677,Resort Hotel,Holiday,162,125,Medium,0.74,135.16,100.02
678,Resort Hotel,Off-Peak,11,269,Low,0.57,324.01,184.69
679,Resort Hotel,Off-Peak,73,79,Medium,0.82,80.23,65.79
680,Resort Hotel,Off-Peak,44,267,Low,0.3,302.79,90.84
681,Resort Hotel,Peak,16,289,Medium,0.7,391.64,274.15
682,City Hotel,Peak,94,70,Medium,0.42,104.08,43.71
683,City Hotel,Off-Peak,155,205,Medium,0.88,297.81,262.07
684,Resort Hotel,Holiday,76,297,Medium,0.94,431.75,405.84
685,City Hotel,Peak,51,267,Medium,1.0,288.78,288.78
686,Resort Hotel,Holiday,127,239,Medium,0.84,269.63,226.49
687,Resort Hotel,Off-Peak,134,210,Medium,0.8,271.73,217.38
688,City Hotel,Off-Peak,176,262,Medium,0.37,378.73,140.13
689,City Hotel,Peak,178,212,Medium,0.47,190.67,89.61
690,Resort Hotel,Off-Peak,33,229,Low,0.57,231.97,132.22
691,Resort Hotel,Peak,197,83,High,0.82,74.49,61.08
692,Resort Hotel,Off-Peak,55,90,Medium,0.93,110.56,102.82
693,City Hotel,Off-Peak,28,100,High,0.35,101.44,35.5
694,Resort Hotel,Peak,77,224,Medium,0.94,230.33,216.51
695,Resort Hotel,Peak,111,131,Medium,0.76,111.3,84.59
696,Resort Hotel,Peak,51,107,Low,0.69,111.8,77.14
697,City Hotel,Off-Peak,41,124,Low,0.36,174.06,62.66
698,Resort Hotel,Off-Peak,176,234,High,0.24,225.38,54.09
699,Resort Hotel,Holiday,118,72,Low,0.65,92.64,60.22
700,City Hotel,Peak,45,225,Low,0.72,279.17,201.0
701,Resort Hotel,Off-Peak,106,177,High,0.37,248.59,91.98
702,Resort Hotel,Off-Peak,173,199,Low,0.65,177.63,115.46
703,City Hotel,Peak,140,66,Medium,0.89,97.96,87.18
704,Resort Hotel,Holiday,82,118,High,0.87,142.53,124.0
705,City Hotel,Peak,145,157,High,0.94,235.0,220.9
706,City Hotel,Holiday,106,188,Medium,0.49,270.36,132.48
707,Resort Hotel,Off-Peak,132,143,Low,0.45,136.57,61.46
708,Resort Hotel,Holiday,79,64,High,0.8,53.72,42.98
709,Resort Hotel,Off-Peak,178,140,High,0.54,137.05,74.01
710,Resort Hotel,Peak,22,212,Medium,0.27,247.89,66.93
711,City Hotel,Peak,58,82,Medium,0.43,75.45,32.44
712,Resort Hotel,Peak,69,261,Low,0.53,239.39,126.88
713,City Hotel,Holiday,139,174,High,0.43,195.54,84.08
714,Resort Hotel,Off-Peak,197,65,Low,0.47,53.51,25.15
715,Resort Hotel,Peak,14,211,Low,0.44,186.8,82.19
716,Resort Hotel,Peak,181,115,Medium,0.23,125.48,28.86
717,City Hotel,Off-Peak,36,276,High,0.71,233.0,165.43
718,Resort Hotel,Peak,169,217,High,0.68,233.87,159.03
719,Resort Hotel,Off-Peak,158,297,High,0.72,336.15,242.03
720,Resort Hotel,Off-Peak,17,205,Medium,0.35,228.76,80.07
721,Resort Hotel,Off-Peak,59,96,Medium,0.44,135.21,59.49
722,City Hotel,Off-Peak,76,216,Medium,0.7,252.95,177.06
723,Resort Hotel,Off-Peak,53,247,Medium,0.68,278.51,189.39
724,City Hotel,Holiday,134,250,Medium,0.61,271.87,165.84
725,City Hotel,Peak,67,197,High,0.48,270.35,129.77
726,City Hotel,Holiday,12,173,Low,0.93,246.79,229.51
727,City Hotel,Peak,95,50,High,0.47,69.86,32.83
728,City Hotel,Holiday,79,249,Low,0.56,316.6,177.3
729,City Hotel,Off-Peak,139,296,Medium,0.74,265.26,196.29
730,Resort Hotel,Peak,181,136,Low,0.63,135.16,85.15
731,City Hotel,Peak,11,177,High,0.48,147.31,70.71
732,City Hotel,Holiday,111,240,High,0.55,348.38,191.61
733,City Hotel,Holiday,44,116,Low,0.84,146.46,123.03
734,Resort Hotel,Peak,107,53,Medium,0.42,70.09,29.44
735,Resort Hotel,Holiday,39,235,Medium,0.31,239.25,74.17
736,City Hotel,Holiday,125,202,High,0.45,281.18,126.53
737,Resort Hotel,Holiday,17,96,Low,0.88,94.25,82.94
738,City Hotel,Off-Peak,159,87,Medium,0.27,69.7,18.82
739,City Hotel,Off-Peak,53,192,Medium,0.99,204.19,202.15
740,Resort Hotel,Holiday,195,240,High,0.63,287.89,181.37
741,City Hotel,Holiday,45,70,Medium,0.99,79.46,78.67
742,Resort Hotel,Off-Peak,86,276,Low,0.95,387.35,367.98
743,Resort Hotel,Off-Peak,40,106,High,0.56,92.62,51.87
744,City Hotel,Peak,56,166,High,0.36,197.15,70.97
745,City Hotel,Peak,64,230,Low,0.33,266.59,87.97
746,Resort Hotel,Off-Peak,115,95,High,0.39,94.71,36.94
747,City Hotel,Holiday,199,293,Medium,0.77,403.04,310.34
748,City Hotel,Holiday,167,191,Medium,0.42,253.46,106.45
749,City Hotel,Holiday,130,277,Low,0.47,363.7,170.94
750,Resort Hotel,Holiday,64,253,Medium,0.56,357.57,200.24
751,Resort Hotel,Peak,153,194,Low,0.93,253.35,235.62
752,City Hotel,Off-Peak,21,88,Low,0.35,84.68,29.64
753,Resort Hotel,Holiday,154,186,Medium,0.2,240.66,48.13
754,Resort Hotel,Peak,153,148,Low,0.25,150.28,37.57
755,Resort Hotel,Holiday,149,126,Medium,0.92,122.16,112.39
756,Resort Hotel,Off-Peak,145,256,High,0.72,217.88,156.87
757,Resort Hotel,Peak,12,259,High,0.42,342.09,143.68
758,City Hotel,Off-Peak,153,164,Low,0.34,212.82,72.36
759,City Hotel,Off-Peak,39,274,Medium,0.44,264.18,116.24
760,City Hotel,Peak,32,183,Medium,0.29,242.4,70.3
761,Resort Hotel,Peak,101,268,High,0.95,386.59,367.26
762,Resort Hotel,Peak,124,200,High,0.83,175.12,145.35
763,City Hotel,Peak,113,236,Medium,0.57,227.23,129.52
764,Resort Hotel,Peak,127,140,Low,0.89,185.53,165.12
765,City Hotel,Peak,14,147,High,0.4,145.85,58.34
766,City Hotel,Peak,113,169,Low,0.77,209.1,161.01
767,City Hotel,Holiday,117,95,Low,0.88,81.4,71.63
768,Resort Hotel,Off-Peak,74,87,High,0.49,97.14,47.6
769,Resort Hotel,Peak,130,191,Low,0.81,251.62,203.81
770,City Hotel,Holiday,39,149,Low,0.44,190.8,83.95
771,City Hotel,Holiday,158,294,Medium,0.44,402.94,177.29
772,City Hotel,Holiday,93,121,Low,0.29,171.12,49.62
773,City Hotel,Off-Peak,159,239,Medium,0.55,320.55,176.3
774,Resort Hotel,Peak,41,84,High,0.78,106.69,83.22
775,Resort Hotel,Holiday,170,196,High,0.95,161.15,153.09
776,City Hotel,Off-Peak,25,79,Medium,0.68,92.78,63.09
777,City Hotel,Off-Peak,47,127,High,0.89,104.95,93.41
778,Resort Hotel,Off-Peak,151,133,Low,0.86,181.63,156.2
779,Resort Hotel,Holiday,45,162,Low,0.34,165.97,56.43
780,City Hotel,Peak,160,74,Low,0.59,88.33,52.11
781,City Hotel,Holiday,123,217,High,0.29,216.05,62.65
782,City Hotel,Holiday,75,137,Low,0.75,184.64,138.48
783,Resort Hotel,Peak,114,63,High,0.96,89.49,85.91
784,Resort Hotel,Peak,94,203,Low,0.31,219.05,67.91
785,Resort Hotel,Peak,11,151,Medium,0.79,212.01,167.49
786,City Hotel,Off-Peak,84,264,High,0.71,260.56,185.0
787,City Hotel,Peak,76,199,High,0.67,233.68,156.57
788,Resort Hotel,Holiday,189,225,Low,0.51,315.25,160.78
789,Resort Hotel,Peak,199,298,High,0.48,306.38,147.06
790,City Hotel,Holiday,160,132,High,0.24,193.75,46.5
791,Resort Hotel,Off-Peak,163,159,Medium,0.37,140.77,52.08
792,Resort Hotel,Holiday,64,228,Medium,0.21,185.32,38.92
793,City Hotel,Holiday,15,180,Low,0.67,257.92,172.81
794,Resort Hotel,Peak,172,219,Medium,0.28,185.72,52.0
795,City Hotel,Peak,159,68,Low,0.9,101.61,91.45
796,City Hotel,Holiday,180,250,Low,0.62,366.49,227.22
797,City Hotel,Peak,152,77,Low,0.76,68.99,52.43
798,City Hotel,Off-Peak,95,261,High,0.53,307.02,162.72
799,City Hotel,Off-Peak,69,222,Medium,0.65,206.34,134.12
800,City Hotel,Peak,110,120,Low,0.95,131.97,125.37
801,City Hotel,Off-Peak,21,255,Medium,0.27,214.96,58.04
802,Resort Hotel,Peak,58,112,Low,0.4,107.16,42.86
803,City Hotel,Holiday,51,122,Medium,0.82,128.62,105.47
804,City Hotel,Holiday,175,173,Medium,0.28,191.52,53.63
805,Resort Hotel,Off-Peak,91,168,Low,0.26,249.35,64.83
806,Resort Hotel,Peak,182,170,High,0.49,232.14,113.75
807,Resort Hotel,Peak,44,68,Medium,0.27,89.5,24.17
808,City Hotel,Off-Peak,167,224,High,0.67,263.41,176.48
809,Resort Hotel,Holiday,167,293,High,0.38,406.68,154.54
810,City Hotel,Off-Peak,143,191,Low,0.92,198.17,182.32
811,City Hotel,Holiday,76,169,Low,0.83,219.06,181.82
812,City Hotel,Peak,89,215,Low,0.76,321.56,244.39
813,City Hotel,Holiday,16,230,Medium,0.69,234.66,161.92
814,Resort Hotel,Off-Peak,189,110,Low,0.89,139.9,124.51
815,Resort Hotel,Peak,23,213,Low,0.38,296.29,112.59
816,City Hotel,Off-Peak,82,217,Medium,0.9,312.71,281.44
817,City Hotel,Off-Peak,152,258,Medium,0.83,336.06,278.93
818,City Hotel,Holiday,158,79,Low,0.8,78.88,63.1
819,Resort Hotel,Off-Peak,172,58,Low,0.65,59.65,38.77
820,City Hotel,Holiday,75,113,Low,0.4,92.04,36.82
821,City Hotel,Peak,100,210,Low,0.54,279.85,151.12
822,Resort Hotel,Holiday,139,169,High,0.83,140.26,116.42
823,Resort Hotel,Peak,172,101,High,0.23,141.93,32.64
824,City Hotel,Holiday,29,138,Low,0.83,121.86,101.14
825,Resort Hotel,Off-Peak,19,191,High,0.39,175.78,68.55
826,Resort Hotel,Holiday,34,252,Medium,0.32,285.66,91.41
827,City Hotel,Holiday,34,102,High,0.29,134.28,38.94
828,Resort Hotel,Peak,63,276,High,0.22,247.66,54.49
829,City Hotel,Off-Peak,42,282,Low,0.62,312.47,193.73
830,Resort Hotel,Holiday,173,236,High,0.37,268.57,99.37
831,City Hotel,Off-Peak,104,127,High,0.99,120.47,119.27
832,City Hotel,Holiday,23,271,High,0.66,238.72,157.56
833,City Hotel,Holiday,74,90,High,0.31,124.69,38.65
